Bandit,Reward,Algorithm
1.0,2.3050190156265593,EpsilonGreedy
1.0,3.481007297096865,EpsilonGreedy
1.0,1.4913955685126645,EpsilonGreedy
1.0,1.2818987992468145,EpsilonGreedy
1.0,1.107083509217798,EpsilonGreedy
1.0,2.5322248596440926,EpsilonGreedy
1.0,-0.2305207356815413,EpsilonGreedy
1.0,2.5512323586377907,EpsilonGreedy
1.0,0.40234935050484966,EpsilonGreedy
2.0,4.622692934160365,EpsilonGreedy
2.0,3.4217056974764244,EpsilonGreedy
2.0,0.7362035362397878,EpsilonGreedy
2.0,4.826226474597458,EpsilonGreedy
2.0,3.501177827546895,EpsilonGreedy
2.0,3.356425199498264,EpsilonGreedy
2.0,3.12902541486359,EpsilonGreedy
2.0,2.6942571221422877,EpsilonGreedy
2.0,4.318769299060207,EpsilonGreedy
2.0,1.8505175725788243,EpsilonGreedy
2.0,2.135491436796631,EpsilonGreedy
2.0,0.8896762700719467,EpsilonGreedy
2.0,5.176272337858105,EpsilonGreedy
2.0,4.286513636046242,EpsilonGreedy
2.0,3.169409628110246,EpsilonGreedy
2.0,1.6830603565219697,EpsilonGreedy
2.0,3.8284229187550625,EpsilonGreedy
2.0,2.017426571534039,EpsilonGreedy
2.0,1.6356191963425635,EpsilonGreedy
2.0,2.363422720887472,EpsilonGreedy
2.0,3.005700640674284,EpsilonGreedy
2.0,2.799202902117684,EpsilonGreedy
2.0,2.658696368281098,EpsilonGreedy
2.0,2.4548621113811686,EpsilonGreedy
2.0,3.189251638147302,EpsilonGreedy
2.0,1.210970149435489,EpsilonGreedy
2.0,2.938134032432679,EpsilonGreedy
2.0,2.4900695448477546,EpsilonGreedy
2.0,3.415245896412549,EpsilonGreedy
2.0,3.9106685745358796,EpsilonGreedy
2.0,1.6996330516040281,EpsilonGreedy
2.0,4.758602063043904,EpsilonGreedy
2.0,3.761575132243035,EpsilonGreedy
2.0,2.2929725709612527,EpsilonGreedy
2.0,3.2655656723925883,EpsilonGreedy
2.0,2.860050373170069,EpsilonGreedy
2.0,2.1233952929616353,EpsilonGreedy
2.0,2.2567506817525986,EpsilonGreedy
2.0,2.590183671375365,EpsilonGreedy
2.0,2.5537621491026616,EpsilonGreedy
2.0,4.448450362295061,EpsilonGreedy
2.0,3.138293073061284,EpsilonGreedy
2.0,2.9204145711405167,EpsilonGreedy
2.0,4.789922976641282,EpsilonGreedy
2.0,2.0921428087244083,EpsilonGreedy
2.0,3.617051251465419,EpsilonGreedy
2.0,3.3760118530049046,EpsilonGreedy
2.0,5.4438381395670845,EpsilonGreedy
2.0,1.9052549221334492,EpsilonGreedy
2.0,3.1464569048729976,EpsilonGreedy
2.0,2.587854432741807,EpsilonGreedy
2.0,4.72179871430958,EpsilonGreedy
2.0,3.184132948392822,EpsilonGreedy
2.0,3.2387485528048567,EpsilonGreedy
2.0,3.5219535688571892,EpsilonGreedy
2.0,2.891744758635773,EpsilonGreedy
2.0,2.5626479070540533,EpsilonGreedy
2.0,3.6361953516359597,EpsilonGreedy
2.0,2.767642792838263,EpsilonGreedy
2.0,2.966743880710616,EpsilonGreedy
2.0,2.9169421192670275,EpsilonGreedy
2.0,3.054384774981577,EpsilonGreedy
2.0,1.725561962214946,EpsilonGreedy
2.0,2.4224530265236126,EpsilonGreedy
2.0,2.875949116986745,EpsilonGreedy
2.0,3.2477260512227852,EpsilonGreedy
2.0,1.38057340608892,EpsilonGreedy
2.0,2.214579962067175,EpsilonGreedy
2.0,3.9919293521975883,EpsilonGreedy
2.0,3.642497461396726,EpsilonGreedy
2.0,2.86504381518909,EpsilonGreedy
2.0,4.631759605512707,EpsilonGreedy
2.0,2.941682031946904,EpsilonGreedy
2.0,2.909963646667382,EpsilonGreedy
2.0,2.9038534255582253,EpsilonGreedy
2.0,4.289603499214508,EpsilonGreedy
2.0,3.6052141564100006,EpsilonGreedy
2.0,4.676856005153954,EpsilonGreedy
2.0,2.08276016642004,EpsilonGreedy
2.0,5.755507735991992,EpsilonGreedy
2.0,3.672994882707429,EpsilonGreedy
2.0,2.948783716001239,EpsilonGreedy
2.0,5.618386334503646,EpsilonGreedy
2.0,3.752185690595149,EpsilonGreedy
2.0,1.8003372865061245,EpsilonGreedy
2.0,0.8579271331417839,EpsilonGreedy
2.0,4.0082140947555684,EpsilonGreedy
2.0,3.815442263966335,EpsilonGreedy
2.0,3.537860707813288,EpsilonGreedy
2.0,4.462800915462116,EpsilonGreedy
2.0,4.148526497987488,EpsilonGreedy
2.0,5.4811811424780235,EpsilonGreedy
2.0,3.252646553216711,EpsilonGreedy
2.0,2.4339860712719683,EpsilonGreedy
2.0,2.4858455977714504,EpsilonGreedy
2.0,3.4814964648150224,EpsilonGreedy
2.0,2.530009409639483,EpsilonGreedy
2.0,4.113271701687379,EpsilonGreedy
2.0,2.826441878839136,EpsilonGreedy
2.0,3.6097084484130577,EpsilonGreedy
2.0,2.187381867059996,EpsilonGreedy
2.0,2.8816589016256335,EpsilonGreedy
2.0,4.144601584926582,EpsilonGreedy
2.0,3.4360600197521354,EpsilonGreedy
2.0,1.6799346510344768,EpsilonGreedy
2.0,2.514667918654645,EpsilonGreedy
2.0,3.3971565156349284,EpsilonGreedy
2.0,2.222733271028922,EpsilonGreedy
2.0,3.8030319218926727,EpsilonGreedy
2.0,2.2456479399574256,EpsilonGreedy
2.0,3.324938988038761,EpsilonGreedy
2.0,1.9027899234363315,EpsilonGreedy
2.0,1.7780316496256174,EpsilonGreedy
2.0,2.030210311546416,EpsilonGreedy
2.0,2.6629714960598014,EpsilonGreedy
2.0,2.8402087681843544,EpsilonGreedy
2.0,2.322654066171125,EpsilonGreedy
2.0,3.4363771358857287,EpsilonGreedy
2.0,2.02953225529391,EpsilonGreedy
2.0,2.457257978160265,EpsilonGreedy
2.0,2.7018443229425566,EpsilonGreedy
2.0,2.521601757982961,EpsilonGreedy
2.0,2.7089209399865624,EpsilonGreedy
2.0,2.020189579652574,EpsilonGreedy
2.0,2.272742768628654,EpsilonGreedy
2.0,4.373125944107598,EpsilonGreedy
2.0,5.059210301372677,EpsilonGreedy
2.0,3.5744121371181587,EpsilonGreedy
2.0,3.691703083061181,EpsilonGreedy
2.0,0.9556099659317496,EpsilonGreedy
2.0,4.187234553838667,EpsilonGreedy
2.0,2.487894228038698,EpsilonGreedy
2.0,2.860363986146681,EpsilonGreedy
2.0,2.831634300360281,EpsilonGreedy
2.0,3.578546740689431,EpsilonGreedy
2.0,2.6530771955361026,EpsilonGreedy
2.0,3.4429827367701966,EpsilonGreedy
2.0,1.3657383415823672,EpsilonGreedy
2.0,2.805033466507629,EpsilonGreedy
2.0,3.05375645974962,EpsilonGreedy
2.0,2.668844605179679,EpsilonGreedy
2.0,4.058064292360468,EpsilonGreedy
2.0,2.62579127345845,EpsilonGreedy
2.0,1.6776464064232977,EpsilonGreedy
2.0,2.687828683617775,EpsilonGreedy
2.0,2.8200516483131164,EpsilonGreedy
2.0,2.1645798204137043,EpsilonGreedy
2.0,3.893399369203358,EpsilonGreedy
2.0,4.612520625543395,EpsilonGreedy
2.0,3.5536700098368157,EpsilonGreedy
2.0,3.88626416891313,EpsilonGreedy
2.0,3.9997539184911517,EpsilonGreedy
2.0,4.231172187568913,EpsilonGreedy
2.0,2.070721804901607,EpsilonGreedy
2.0,2.5299367082301423,EpsilonGreedy
2.0,2.6574162947434026,EpsilonGreedy
2.0,3.6048990012059976,EpsilonGreedy
2.0,4.861213668159573,EpsilonGreedy
2.0,2.673434464113253,EpsilonGreedy
2.0,2.590074457497673,EpsilonGreedy
2.0,4.859540693228517,EpsilonGreedy
2.0,1.699504999804604,EpsilonGreedy
2.0,2.096636975344312,EpsilonGreedy
2.0,1.5852947632951637,EpsilonGreedy
2.0,3.3573655324071137,EpsilonGreedy
2.0,1.530639087792584,EpsilonGreedy
2.0,4.2240838047969635,EpsilonGreedy
2.0,3.0222082591084205,EpsilonGreedy
2.0,2.4591413990363957,EpsilonGreedy
2.0,3.333178379161086,EpsilonGreedy
2.0,1.0110696720613275,EpsilonGreedy
2.0,3.980338526556388,EpsilonGreedy
2.0,2.237259047828979,EpsilonGreedy
2.0,1.845622144775857,EpsilonGreedy
2.0,2.579559478023634,EpsilonGreedy
2.0,4.016518327073923,EpsilonGreedy
2.0,3.076746623888648,EpsilonGreedy
2.0,1.298279521224949,EpsilonGreedy
2.0,3.3814859254275977,EpsilonGreedy
1.0,2.867802635155135,EpsilonGreedy
2.0,3.374153682224217,EpsilonGreedy
2.0,2.350872305851551,EpsilonGreedy
2.0,1.413502881584265,EpsilonGreedy
2.0,4.773108275613403,EpsilonGreedy
2.0,2.9325912383569426,EpsilonGreedy
2.0,1.2292859669313234,EpsilonGreedy
2.0,4.089643546527615,EpsilonGreedy
2.0,2.486001123594594,EpsilonGreedy
2.0,3.4100683646613827,EpsilonGreedy
2.0,2.1151152638659707,EpsilonGreedy
2.0,3.574800909224259,EpsilonGreedy
